4.5118782,4.7333333,0,10249,1,4,3,2,14320,1491839,71,330647,15,36564,2016
5.3526985,4.9565217,0,10255,1,0,1,1,10110,7099086,114,1326263,23,50952,2016
4.7851691,4.7857143,0,10258,1,0,2,0,10200,2070758,67,432745,14,7636,2016
4.8674306,4.5555556,0,10260,1,0,2,1,10210,1880084,41,386258,9,62982,2016
4.1501714,4.8888889,0,10268,1,1,1,1,11110,4384598,44,1056486,9,328602,2016
4.5118782,4.7333333,0,10270,1,4,3,2,14320,1491839,71,330647,15,2193,2016
4.8674306,4.5555556,0,10271,1,0,2,1,10210,1880084,41,386258,9,40267,2016
4.1501714,4.8888889,0,10276,1,1,1,1,11110,4384598,44,1056486,9,63900,2016
3.2879362,4.8235294,0,10279,1,0,1,0,10100,2698018,82,820581,17,31630,2016
3.2879362,4.8235294,0,10283,1,0,1,0,10100,2698018,82,820581,17,40455,2016
4.7851691,4.7857143,0,10291,1,0,2,0,10200,2070758,67,432745,14,19160,2016
3.2879362,4.8235294,0,10292,1,0,1,0,10100,2698018,82,820581,17,46502,2016
4.1501714,4.8888889,0,10294,1,1,1,1,11110,4384598,44,1056486,9,67416,2016
4.5118782,4.7333333,0,10295,1,4,3,2,14320,1491839,71,330647,15,26542,2016
3.6980266,4.4,0,10298,1,2,1,1,12110,1936675,22,523705,5,109502,2016
5.3526985,4.9565217,0,10308,1,0,1,1,10110,7099086,114,1326263,23,18325,2016
3.6970834,2,0,10312,1,8,3,2,18320,235519,4,63704,2,17635,2016
1.965954,2,0,10314,1,2,1,0,12100,258462,4,131469,2,75718,2016
4.7851691,4.7857143,0,10317,1,0,2,0,10200,2070758,67,432745,14,35901,2016
3.2879362,4.8235294,0,10328,1,0,1,0,10100,2698018,82,820581,17,144239,2016
5.5153057,4.8181818,0,10331,1,0,4,2,10420,674202,53,122242,11,6311,2016
4.1501714,4.8888889,0,10334,1,1,1,1,11110,4384598,44,1056486,9,107683,2016
4.8674306,4.5555556,0,10335,1,0,2,1,10210,1880084,41,386258,9,26011,2016
5.3526985,4.9565217,0,10337,1,0,1,1,10110,7099086,114,1326263,23,28511,2016
4.7851691,4.7857143,0,10340,1,0,2,0,10200,2070758,67,432745,14,9406,2016
5.5153057,4.8181818,0,10341,1,0,4,2,10420,674202,53,122242,11,5633,2016
5.3526985,4.9565217,0,10347,1,0,1,1,10110,7099086,114,1326263,23,31995,2016
4.8674306,4.5555556,0,10355,1,0,2,1,10210,1880084,41,386258,9,11008,2016
4.7851691,4.7857143,0,10356,1,0,2,0,10200,2070758,67,432745,14,20042,2016
5.3526985,4.9565217,0,10360,1,0,1,1,10110,7099086,114,1326263,23,44436,2016
4.3876939,4.3333333,0,10364,1,1,2,1,11210,1218603,13,277732,3,98599,2016
4.8674306,4.5555556,0,10366,1,0,2,1,10210,1880084,41,386258,9,26069,2016
4.8674306,4.5555556,0,10371,1,0,2,1,10210,1880084,41,386258,9,38998,2016
1.965954,2,0,10373,1,2,1,0,12100,258462,4,131469,2,55751,2016
4.1501714,4.8888889,0,10379,1,1,1,1,11110,4384598,44,1056486,9,73705,2016
3.6980266,4.4,0,10381,1,2,1,1,12110,1936675,22,523705,5,161026,2016
4.8927193,4,0,10384,1,3,1,1,13110,589421,8,120469,2,35611,2016
5.3526985,4.9565217,0,10388,1,0,1,1,10110,7099086,114,1326263,23,19313,2016
4.5118782,4.7333333,0,10390,1,4,3,2,14320,1491839,71,330647,15,13851,2016
5.3526985,4.9565217,0,10391,1,0,1,1,10110,7099086,114,1326263,23,69605,2016
3.2879362,4.8235294,0,10392,1,0,1,0,10100,2698018,82,820581,17,30948,2016
4.5118782,4.7333333,0,10394,1,4,3,2,14320,1491839,71,330647,15,57075,2016
3.2879362,4.8235294,0,10397,1,0,1,0,10100,2698018,82,820581,17,8682,2016
3.2310048,3,0,10398,1,3,2,1,13210,322842,6,99920,2,34781,2016
5.3526985,4.9565217,0,10399,1,0,1,1,10110,7099086,114,1326263,23,50147,2016
4.8674306,4.5555556,0,10400,1,0,2,1,10210,1880084,41,386258,9,13518,2016
4.5118782,4.7333333,0,10405,1,4,3,2,14320,1491839,71,330647,15,29119,2016
5.3526985,4.9565217,0,10410,1,0,1,1,10110,7099086,114,1326263,23,124453,2016
5.3526985,4.9565217,0,10413,1,0,1,1,10110,7099086,114,1326263,23,30583,2016
5.5153057,4.8181818,0,10414,1,0,4,2,10420,674202,53,122242,11,6501,2016
